bearish,bullish,date,title
"https://seekingalpha.com/symbol/COL,https://seekingalpha.com/symbol/DVAX,https://seekingalpha.com/symbol/CMI,https://seekingalpha.com/symbol/CVX,https://seekingalpha.com/symbol/OLED,https://seekingalpha.com/symbol/AAPL,https://seekingalpha.com/symbol/SLCA,https://seekingalpha.com/symbol/SLB,https://seekingalpha.com/symbol/INO,https://seekingalpha.com/symbol/AKAM,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/COL,https://seekingalpha.com/symbol/DVAX,https://seekingalpha.com/symbol/CMI,https://seekingalpha.com/symbol/CVX,https://seekingalpha.com/symbol/OLED,https://seekingalpha.com/symbol/AAPL,https://seekingalpha.com/symbol/SLCA,https://seekingalpha.com/symbol/SLB,https://seekingalpha.com/symbol/INO,https://seekingalpha.com/symbol/AKAM,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-08-03T09:05:50Z,"Thumbs Up For One Speculative Stock, Thumbs Down For Another - Cramer's Lightning Round (8/2/17)"
"https://seekingalpha.com/symbol/RDN,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/ULTA,https://seekingalpha.com/symbol/AB,https://seekingalpha.com/symbol/RDN,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-08-01T10:37:49Z,Ulta Beauty Is A Good Stock - Cramer's Lightning Round (7/31/17)
"https://seekingalpha.com/symbol/HSBC,https://seekingalpha.com/symbol/JPM,https://seekingalpha.com/symbol/RRD,https://seekingalpha.com/symbol/KITE,https://seekingalpha.com/symbol/PFE,https://seekingalpha.com/symbol/ABT,https://seekingalpha.com/symbol/TUP,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/FCX,https://seekingalpha.com/symbol/APLE,https://seekingalpha.com/symbol/HSBC,https://seekingalpha.com/symbol/JPM,https://seekingalpha.com/symbol/RRD,https://seekingalpha.com/symbol/KITE,https://seekingalpha.com/symbol/PFE,https://seekingalpha.com/symbol/ABT,https://seekingalpha.com/symbol/TUP,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-28T11:27:12Z,Freeport-McMoRan Has Bottomed At $12 - Cramer's Lightning Round (7/27/17)
"https://seekingalpha.com/symbol/UCTT,https://seekingalpha.com/symbol/LRCX,https://seekingalpha.com/symbol/AMAT,https://seekingalpha.com/symbol/KLAC,https://seekingalpha.com/symbol/FAST,https://seekingalpha.com/symbol/HON,https://seekingalpha.com/symbol/PTCT,https://seekingalpha.com/symbol/ALDR,https://seekingalpha.com/symbol/PETS,https://seekingalpha.com/symbol/M,https://seekingalpha.com/symbol/PVH,https://seekingalpha.com/symbol/CUTR,https://seekingalpha.com/symbol/AGN,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/HTZ,https://seekingalpha.com/symbol/KMX,https://seekingalpha.com/symbol/AES,https://seekingalpha.com/symbol/VRX,https://seekingalpha.com/symbol/UCTT,https://seekingalpha.com/symbol/LRCX,https://seekingalpha.com/symbol/AMAT,https://seekingalpha.com/symbol/KLAC,https://seekingalpha.com/symbol/FAST,https://seekingalpha.com/symbol/HON,https://seekingalpha.com/symbol/PTCT,https://seekingalpha.com/symbol/ALDR,https://seekingalpha.com/symbol/PETS,https://seekingalpha.com/symbol/M,https://seekingalpha.com/symbol/PVH,https://seekingalpha.com/symbol/CUTR,https://seekingalpha.com/symbol/AGN,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-26T10:50:00Z,Valeant Can Go To $20 - Cramer's Lightning Round (7/25/17)
"https://seekingalpha.com/symbol/CVNA,https://seekingalpha.com/symbol/KMX,https://seekingalpha.com/symbol/MNK,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/MAR,https://seekingalpha.com/symbol/K,https://seekingalpha.com/symbol/NXPI,https://seekingalpha.com/symbol/QCOM,https://seekingalpha.com/news/3277935-qualcomm-might-face-china-pushback-nxp-acquisition,https://seekingalpha.com/symbol/AAPL,https://seekingalpha.com/symbol/XRX,https://seekingalpha.com/symbol/IONS,https://seekingalpha.com/symbol/CVNA,https://seekingalpha.com/symbol/KMX,https://seekingalpha.com/symbol/MNK,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-25T09:07:52Z,Qualcomm Should Pay More For NXP Semiconductors - Cramer's Lightning Round (7/24/17)
"https://seekingalpha.com/symbol/ENR,https://seekingalpha.com/symbol/PG,https://seekingalpha.com/symbol/CAKE,https://seekingalpha.com/symbol/DRI,https://seekingalpha.com/symbol/ESV,https://seekingalpha.com/symbol/TRTN,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/ADBE,https://seekingalpha.com/symbol/SNDR,https://seekingalpha.com/symbol/UNP,https://seekingalpha.com/symbol/ENR,https://seekingalpha.com/symbol/PG,https://seekingalpha.com/symbol/CAKE,https://seekingalpha.com/symbol/DRI,https://seekingalpha.com/symbol/ESV,https://seekingalpha.com/symbol/TRTN,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-21T10:55:14Z,BlackBerry Is Correctly Priced - Cramer's Lightning Round (7/20/17)
"https://seekingalpha.com/symbol/GME,https://seekingalpha.com/symbol/EA,https://seekingalpha.com/symbol/ATVI,https://seekingalpha.com/symbol/TTWO,https://seekingalpha.com/symbol/AMPH,https://seekingalpha.com/symbol/REGN,https://seekingalpha.com/symbol/CBU,https://seekingalpha.com/symbol/PNC,https://seekingalpha.com/symbol/NBR,https://seekingalpha.com/symbol/MZOR,https://seekingalpha.com/symbol/FRTA,https://seekingalpha.com/symbol/NUE,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/PFE,https://seekingalpha.com/symbol/CY,https://seekingalpha.com/symbol/GME,https://seekingalpha.com/symbol/EA,https://seekingalpha.com/symbol/ATVI,https://seekingalpha.com/symbol/TTWO,https://seekingalpha.com/symbol/AMPH,https://seekingalpha.com/symbol/REGN,https://seekingalpha.com/symbol/CBU,https://seekingalpha.com/symbol/PNC,https://seekingalpha.com/symbol/NBR,https://seekingalpha.com/symbol/MZOR,https://seekingalpha.com/symbol/FRTA,https://seekingalpha.com/symbol/NUE,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-20T10:40:10Z,Cypress Semiconductor Will Go To $17 - Cramer's Lightning Round (7/19/17)
"https://seekingalpha.com/symbol/SIG,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/APO,https://seekingalpha.com/symbol/CHGG,https://seekingalpha.com/symbol/SUPN,https://seekingalpha.com/symbol/UPS,https://seekingalpha.com/symbol/MCK,https://seekingalpha.com/symbol/SIG,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-19T10:55:49Z,Chegg Is Not Done Going Up - Cramer's Lightning Round (7/18/17)
"https://seekingalpha.com/symbol/EXEL,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/GRPN,https://seekingalpha.com/symbol/CCL,https://seekingalpha.com/symbol/DATA,https://seekingalpha.com/symbol/LYG,https://seekingalpha.com/symbol/EZU,https://seekingalpha.com/symbol/NWL,https://seekingalpha.com/symbol/MGM,https://seekingalpha.com/news/3278735-casino-stocks-slide-junket-operator-warning,https://seekingalpha.com/symbol/EXEL,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-18T10:36:58Z,Tableau Software Is On Fire - Cramer's Lightning Round (7/17/17)
"https://seekingalpha.com/symbol/KMI,https://seekingalpha.com/symbol/MMP,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/XLNX,https://seekingalpha.com/symbol/ARNA,https://seekingalpha.com/symbol/MO,https://seekingalpha.com/symbol/BMO,https://seekingalpha.com/symbol/INFO,https://seekingalpha.com/symbol/WGO,https://seekingalpha.com/symbol/SRE,https://seekingalpha.com/symbol/KMI,https://seekingalpha.com/symbol/MMP,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-14T10:54:59Z,Bank Of Montreal Is A Good Conservative Bank - Cramer's Lightning Round (7/13/17)
"https://seekingalpha.com/symbol/AKS,https://seekingalpha.com/symbol/NUE,https://seekingalpha.com/symbol/ESRX,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/STM,https://seekingalpha.com/symbol/NVDA,https://seekingalpha.com/symbol/SBUX,https://seekingalpha.com/symbol/ATNX,https://seekingalpha.com/symbol/AKS,https://seekingalpha.com/symbol/NUE,https://seekingalpha.com/symbol/ESRX,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-13T10:49:36Z,Hold On To Starbucks - Cramer's Lightning Round (7/12/17)
"https://seekingalpha.com/symbol/FTR,https://seekingalpha.com/symbol/SPH,https://seekingalpha.com/symbol/STNG,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/DIS,https://seekingalpha.com/symbol/ALXN,https://seekingalpha.com/symbol/INCY,https://seekingalpha.com/symbol/FTR,https://seekingalpha.com/symbol/SPH,https://seekingalpha.com/symbol/STNG,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-12T10:34:59Z,Disney Is A Long-Term Buy - Cramer's Lightning Round (7/11/17)
"https://seekingalpha.com/symbol/MAT,https://seekingalpha.com/symbol/HAS,https://seekingalpha.com/symbol/MZOR,https://seekingalpha.com/symbol/CARA,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/GOOS,https://seekingalpha.com/symbol/RTN,https://seekingalpha.com/symbol/MAT,https://seekingalpha.com/symbol/HAS,https://seekingalpha.com/symbol/MZOR,https://seekingalpha.com/symbol/CARA,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-11T10:01:20Z,Raytheon Has A Lot Of Upside - Cramer's Lightning Round (7/10/17)
"https://seekingalpha.com/symbol/ON,https://seekingalpha.com/symbol/AVGO,https://seekingalpha.com/symbol/GNC,https://seekingalpha.com/symbol/UA,https://seekingalpha.com/symbol/NKE,https://seekingalpha.com/symbol/ORLY,https://seekingalpha.com/symbol/AMZN,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences","https://seekingalpha.com/symbol/NVCR,https://seekingalpha.com/symbol/AVAV,https://seekingalpha.com/symbol/GD,https://seekingalpha.com/symbol/PETS,https://seekingalpha.com/symbol/IDXX,https://seekingalpha.com/symbol/PTLA,https://seekingalpha.com/symbol/NEE,https://seekingalpha.com/symbol/ON,https://seekingalpha.com/symbol/AVGO,https://seekingalpha.com/symbol/GNC,https://seekingalpha.com/symbol/UA,https://seekingalpha.com/symbol/NKE,https://seekingalpha.com/symbol/ORLY,https://seekingalpha.com/symbol/AMZN,http://secure2.thestreet.com/cap/prm.do?OID=018336,http://secure2.thestreet.com/cap/prm.do?OID=018336,https://seekingalpha.com/account/email_preferences",2017-07-10T09:37:37Z,NovoCure Is A Buy - Cramer's Lightning Round (7/7/17)
